DOW,DATE,av_hr
Sunday,1/1/2017,78.65849
Monday,1/2/2017,74.8849
Tuesday,1/3/2017,72.74498
Wednesday,1/4/2017,74.25618
Thursday,1/5/2017,78.4079
Friday,1/6/2017,79.08067
Saturday,1/7/2017,80.01448
Sunday,1/8/2017,83.58565
Monday,1/9/2017,87.63519
Tuesday,1/10/2017,80.54325
Wednesday,1/11/2017,81.87353
Thursday,1/12/2017,80.60519
Friday,1/13/2017,82.10793
Saturday,1/14/2017,81.58129
Sunday,1/15/2017,82.08714
Monday,1/16/2017,80.02418
Tuesday,1/17/2017,82.60416
Wednesday,1/18/2017,81.10846
Thursday,1/19/2017,79.01976
Friday,1/20/2017,86.733
Saturday,1/21/2017,77.42044
Sunday,1/22/2017,74.07223
Monday,1/23/2017,71.34253
Tuesday,1/24/2017,74.6767
Wednesday,1/25/2017,72.61136
Thursday,1/26/2017,72.7071
Friday,1/27/2017,73.42848
Saturday,1/28/2017,75.07063
Sunday,1/29/2017,72.20667
Monday,1/30/2017,72.15733
Tuesday,1/31/2017,76.56068
